"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"KURNOOL","MANTRALAYAM",9.9,2.37,1.04,0.0899999999999999,1.07,0.610000000000001,0.609999999999999,2.78,3.66,1.74
"KURNOOL","MIDTHUR",10.66,3.9,0.199999999999999,0.31,0.43,1,0.18,3.73,4.09,2.01
"KURNOOL","NANDAVARAM",13.77,2.57,1.35,0.0700000000000003,0.76,0.460000000000001,0.33,3.17,3.54,1.59
"KURNOOL","NANDIKOTKUR",9.19,4.15,0.199999999999999,0.180000000000001,0.31,0.880000000000001,0.34,5.31,2.35,3.88
"KURNOOL","NANDYAL",4.59,8.03,0.0800000000000001,0.15,0.860000000000001,2.74,1.22,7.84,8.05,2.9
"KURNOOL","ORVAKAL",10.56,3.39,0.17,0.0300000000000011,0.49,0.699999999999999,0.300000000000001,4.52,3.85,1.74
"KURNOOL","OWK",3.4,3.45,0.17,0.0300000000000002,0.16,0.48,0.49,1.8,4.36,2.74
"KURNOOL","PAGIDYALA",9.12,4.64,0.199999999999999,0.180000000000001,0.34,1,0.369999999999999,5.55,2.66,5.58
"KURNOOL","PAMULAPADU",9.14,5.71,0.32,0.459999999999999,0.859999999999999,1.58,0.48,4.37,5.06,4.43
"KURNOOL","PANYAM",8.2,3.99,0.0600000000000005,0.27,0.609999999999999,2.62,1.22,5.5,7.27,1.71
"KURNOOL","PATTIKANDA",6.52,3.54,0.880000000000001,0.299999999999999,0.700000000000001,1.07,1.13,1.68,5.83,4.94
"KURNOOL","PEAPALLY",7.42,3.45,0.800000000000001,0.0999999999999996,0.58,0.34,0.700000000000001,2.72,4.88,2.07
"KURNOOL","PEDDAKADUBUR",10.69,3.43,0.609999999999999,0.119999999999999,1.16,1.01,0.970000000000001,1.99,4,4.85
"KURNOOL","RUDRAVARAM",8.36,12,0.330000000000002,0.120000000000001,0.800000000000001,2.78,1.8,6.13,10.44,3.69
"KURNOOL","SANJAMALA",2.28,1.72,0.0500000000000003,0.12,0.24,1.16,0.640000000000001,3.73,6.05,2.74
"KURNOOL","SIRVEL",8.04,10.26,0.0999999999999979,0.15,0.860000000000001,2.78,1.22,6.13,8.12,3.69
"KURNOOL","SRISAILAM",11.38,7.34,0.290000000000003,0.25,0.420000000000002,0.16,0.0899999999999999,0.640000000000001,0.579999999999998,0.359999999999999
"KURNOOL","TUGGALI",7.42,3.03,1.02,0.24,0.700000000000001,0.82,0.83,2.29,6.11,3.51
"KURNOOL","UYYALAWADA",3.04,3.61,0.0500000000000007,0.0300000000000002,0.239999999999999,2.05,0.940000000000001,5.77,10.96,3.63
